Panini_id,sofifa_id,player_url,short_name,long_name,player_positions,name,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,va al mundial,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1,158023,https://sofifa.com/player/158023/lionel-messi/220002,L. Messi,Lionel Andr泰s Messi Cuccittini,"RW, ST, CF",Lionel Messi,93,93,78000000,320000,34,6/24/1987,170,72,73,Paris Saint-Germain,French Ligue 1,1,RW,30,,8/10/2021,2023,52,Argentina,1369,RW,10,Left,4,4,5,Medium/Low,Unique,Yes,si,144300000,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Chip Shot (AI), Technical Dribbler (AI)",85,92,91,95,34,65,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,6,11,15,14,8,,89+3,89+3,89+3,92,93,93,93,92,93,93,93,91+2,87+3,87+3,87+3,91+2,66+3,64+3,64+3,64+3,66+3,61+3,50+3,50+3,50+3,61+3,19+3,https://cdn.sofifa.net/players/158/023/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
2,153079,https://sofifa.com/player/153079/sergio-aguero/220002,S. Ag�ero,Sergio Leonel Ag�ero del Castillo,ST,Sergio Aguero,87,87,51000000,260000,33,6/2/1988,173,70,241,FC Barcelona,Spain Primera Division,1,ST,19,,7/1/2021,2023,52,Argentina,1369,SUB,9,Right,4,4,4,High/Medium,Unique,Yes,si,104600000,"#Dribbler, #Clinical Finisher, #Complete Forward","Injury Prone, Chip Shot (AI)",71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,,86+1,86+1,86+1,83,85,85,85,83,84+3,84+3,84+3,80+3,75+3,75+3,75+3,80+3,57+3,57+3,57+3,57+3,57+3,54+3,50+3,50+3,50+3,54+3,21+3,https://cdn.sofifa.net/players/153/079/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
3,183898,https://sofifa.com/player/183898/angel-di-maria/220002,虂. Di Mar�a,虂ngel Fabi塘n Di Mar�a Hern塘ndez,"RW, LW",Angel Di Maria,87,87,49500000,160000,33,2/14/1988,180,69,73,Paris Saint-Germain,French Ligue 1,1,SUB,11,,8/6/2015,2022,52,Argentina,1369,LW,11,Left,2,5,4,High/Medium,Unique,Yes,si,91600000,"#Dribbler, #Crosser, #FK Specialist, #Acrobat","Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,,79+3,79+3,79+3,85,84,84,84,85,85+2,85+2,85+2,85+2,81+3,81+3,81+3,85+2,70+3,68+3,68+3,68+3,70+3,67+3,58+3,58+3,58+3,67+3,18+3,https://cdn.sofifa.net/players/183/898/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
4,211110,https://sofifa.com/player/211110/paulo-dybala/220002,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",Paulo Dybala,87,88,93000000,160000,27,11/15/1993,177,75,45,Juventus,Italian Serie A,1,CAM,10,,7/1/2015,2022,52,Argentina,1369,SUB,21,Left,3,4,3,Medium/Medium,Unique,Yes,si,160400000,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder","Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",84,86,86,90,40,60,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,,82+3,82+3,82+3,87,86,86,86,87,88,88,88,85+3,81+3,81+3,81+3,85+3,66+3,63+3,63+3,63+3,66+3,62+3,52+3,52+3,52+3,62+3,14+3,https://cdn.sofifa.net/players/211/110/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
5,143076,https://sofifa.com/player/143076/alejandro-gomez/220002,A. G�mez,Alejandro Dar�o G�mez,"CAM, CF, CM",Alejandro Gomez,85,85,33500000,51000,33,2/15/1988,167,68,481,Sevilla FC,Spain Primera Division,1,LCM,24,,1/26/2021,2024,52,Argentina,1369,SUB,17,Right,4,4,3,High/Medium,Normal (170-),Yes,si,70400000,#Acrobat,"Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,78,84,87,39,55,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,,76+3,76+3,76+3,84,83,83,83,84,84+1,84+1,84+1,84+1,79+3,79+3,79+3,84+1,66+3,62+3,62+3,62+3,66+3,61+3,49+3,49+3,49+3,61+3,17+3,https://cdn.sofifa.net/players/143/076/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
6,231478,https://sofifa.com/player/231478/lautaro-martinez/220002,L. Mart�nez,Lautaro Javier Mart�nez,ST,Lautaro Martinez,85,89,78000000,145000,23,8/22/1997,174,72,44,Inter,Italian Serie A,1,LS,10,,7/5/2018,2023,52,Argentina,1369,ST,22,Right,4,4,3,High/Medium,Unique,Yes,si,138500000,#Acrobat,"Flair, Power Header, Technical Dribbler (AI)",84,81,72,85,48,84,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,,84+3,84+3,84+3,81,84,84,84,81,82+3,82+3,82+3,80+3,77+3,77+3,77+3,80+3,65+3,66+3,66+3,66+3,65+3,63+3,62+3,62+3,62+3,63+3,19+3,https://cdn.sofifa.net/players/231/478/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
7,202811,https://sofifa.com/player/202811/emiliano-martinez/220002,E. Mart�nez,Dami塘n Emiliano Mart�nez,GK,Emiliano Martinez,84,85,33500000,81000,28,9/2/1992,195,88,2,Aston Villa,English Premier League,1,GK,1,,9/16/2020,2024,52,Argentina,1369,GK,23,Right,4,1,3,Medium/Medium,Stocky (185+),Yes,si,66200000,,"GK Long Throw, Team Player, Comes For Crosses",,,,,,,22,16,26,50,13,13,22,20,51,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85,58,36+3,36+3,36+3,35,37,37,37,35,40+3,40+3,40+3,38+3,42+3,42+3,42+3,38+3,33+3,37+3,37+3,37+3,33+3,33+3,32+3,32+3,32+3,33+3,83+2,https://cdn.sofifa.net/players/202/811/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
8,224334,https://sofifa.com/player/224334/marcos-acuna/220002,M. Acu瘫a,Marcos Javier Acu瘫a,"LB, LM",Marcos Acuna,84,84,37000000,45000,29,10/28/1991,172,69,481,Sevilla FC,Spain Primera Division,1,LB,19,,9/14/2020,2024,52,Argentina,1369,LB,8,Left,3,4,2,High/High,Stocky (170-185),No,si,77700000,"#Dribbler, #Engine, #Crosser","Flair, Long Passer (AI), Outside Foot Shot",76,74,82,87,79,82,87,66,58,82,68,87,88,75,78,88,77,76,83,83,90,82,63,90,80,81,84,79,81,82,76,87,80,84,82,8,14,13,13,14,,77+2,77+2,77+2,82,81,81,81,82,82+2,82+2,82+2,83+1,83+1,83+1,83+1,83+1,83+1,82+2,82+2,82+2,83+1,82+2,79+2,79+2,79+2,82+2,20+2,https://cdn.sofifa.net/players/224/334/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
9,214997,https://sofifa.com/player/214997/angel-correa/220002,虂. Correa,虂ngel Mart�n Correa,"ST, RM",Angel Correa,83,86,48000000,80000,26,3/9/1995,171,70,240,Atl泰tico de Madrid,Spain Primera Division,1,SUB,10,,12/13/2014,2024,52,Argentina,1369,SUB,26,Right,4,4,2,High/Medium,Normal (170-185),Yes,si,102000000,"#Dribbler, #Acrobat","Flair, Technical Dribbler (AI)",85,83,78,87,49,74,75,85,69,82,80,88,82,65,66,87,86,85,90,84,87,83,49,82,71,86,79,48,84,84,55,76,42,53,44,13,10,9,8,16,,83+2,83+2,83+2,85,85,85,85,85,84+2,84+2,84+2,83+2,79+2,79+2,79+2,83+2,69+2,67+2,67+2,67+2,69+2,66+2,60+2,60+2,60+2,66+2,20+2,https://cdn.sofifa.net/players/214/997/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
10,211256,https://sofifa.com/player/211256/nicolas-tagliafico/220002,N. Tagliafico,Nicol塘s Alejandro Tagliafico,LB,Nicolas Tagliafico,82,82,27500000,24000,28,8/31/1992,172,65,245,Ajax,Holland Eredivisie,1,SUB,31,,1/5/2018,2023,52,Argentina,1369,SUB,3,Left,2,3,3,High/High,Normal (170-185),Yes,si,38500000,#Engine,"Solid Player, Dives Into Tackles (AI), Power Header, Team Player",80,55,73,76,81,81,76,55,82,77,44,73,66,40,75,77,79,81,77,81,81,65,90,89,75,46,84,80,69,69,46,77,81,80,80,13,9,10,15,16,,70+3,70+3,70+3,72,71,71,71,72,72+3,72+3,72+3,75+3,75+3,75+3,75+3,75+3,80+2,79+3,79+3,79+3,80+2,80+2,80+2,80+2,80+2,80+2,21+3,https://cdn.sofifa.net/players/211/256/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
